CC(=O)Nc1cccc(NC=O)c1.CC=O,16,6,CC(O)NC1CCCC(NCO)C1.CCO,,F2
CC(=O)Nc1cccc(NC=O)c1,13,6,CC(O)NC1CCCC(NCO)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CNCCO2)c1,19,12,CC(O)NC1CCCC(NC(O)C2CCCCC2)C1,Z2433526958,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)C2(C#N)CCSCC2)c1,21,12,CC(O)NC1CCCC(NC(O)C2(CN)CCCCC2)C1,Z2945556701,EM;MOL;F2
N#CC1(C(=O)Nc2ccccc2)CCSCC1,17,12,NCC1(C(O)NC2CCCCC2)CCCCC1,,F2
O=C(Nc1ccccc1)C1CCSCC1,15,12,OC(NC1CCCCC1)C1CCCCC1,,F2
C1CCSCC1.c1ccccc1,12,12,C1CCCCC1.C1CCCCC1,,F2
C1CCSCC1,6,6,C1CCCCC1,,F2
NC(=O)C1CCSCC1,9,6,NC(O)C1CCCCC1,,F2
C#N.O=CNc1ccccc1,11,6,CN.OCNC1CCCCC1,,F2
C#N.c1ccccc1,8,6,C1CCCCC1.CN,,F2
C#N,2,0,CN,,F2
C#N.NC=O,5,0,CN.NCO,,F2
N#CC1CCSCC1.c1ccccc1,14,12,C1CCCCC1.NCC1CCCCC1,,F2
N#CC1CCSCC1,8,6,NCC1CCCCC1,,F2
N#CC1(C(N)=O)CCSCC1,11,6,NCC1(C(N)O)CCCCC1,,F2
CC(N)=O.N#CC1(C(N)=O)CCSCC1,15,6,CC(N)O.NCC1(C(N)O)CCCCC1,,F2
CC(N)=O.NC(=O)C1CCSCC1,13,6,CC(N)O.NC(O)C1CCCCC1,,F2
C1CCSCC1.CC(N)=O,10,6,C1CCCCC1.CC(N)O,,F2
C#N.CC(N)=O.NC=O,9,0,CC(N)O.CN.NCO,,F2
C#N.CC(N)=O,6,0,CC(N)O.CN,,F2
CC(N)=O.N#CC1CCSCC1,12,6,CC(N)O.NCC1CCCCC1,,F2
CC(=O)Nc1ccccc1.N#CC1CCSCC1,18,12,CC(O)NC1CCCCC1.NCC1CCCCC1,,F2
C1CCSCC1.CC(=O)Nc1ccccc1,16,12,C1CCCCC1.CC(O)NC1CCCCC1,,F2
C#N.CC(=O)Nc1ccccc1,12,6,CC(O)NC1CCCCC1.CN,,F2
C#N.CC(=O)Nc1cccc(NC=O)c1,15,6,CC(O)NC1CCCC(NCO)C1.CN,,F2
CC(=O)Nc1cccc(NC(=O)C2CCSCC2)c1,19,12,CC(O)NC1CCCC(NC(O)C2CCCCC2)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CC2c2ccnn2C)c1,22,14,CC(O)NC1CCCC(NC(O)C2CC2C2CCCC2C)C1,Z2945556549,EM;MOL;F2
CC(=O)Nc1cccc(NC(=O)C2CC2)c1.Cn1cccn1,22,14,CC(O)NC1CCCC(NC(O)C2CC2)C1.CC1CCCC1,,F2
Cn1cccn1.O=C(Nc1ccccc1)C1CC1,18,14,CC1CCCC1.OC(NC1CCCCC1)C1CC1,,F2
O=C(Nc1ccccc1)C1CC1.c1cn[nH]c1,17,14,C1CCCC1.OC(NC1CCCCC1)C1CC1,,F2
C1CC1.c1ccccc1.c1cn[nH]c1,14,14,C1CC1.C1CCCC1.C1CCCCC1,,F2
C1CC1.c1cn[nH]c1,8,8,C1CC1.C1CCCC1,,F2
C1CC1,3,3,C1CC1,,F2
C1CC1.c1ccccc1,9,9,C1CC1.C1CCCCC1,,F2
NC(=O)C1CC1.c1cn[nH]c1,11,8,C1CCCC1.NC(O)C1CC1,,F2
NC=O.c1cn[nH]c1,8,5,C1CCCC1.NCO,,F2
NC(=O)C1CC1,6,3,NC(O)C1CC1,,F2
O=CNc1ccccc1.c1cn[nH]c1,14,11,C1CCCC1.OCNC1CCCCC1,,F2
O=C(Nc1ccccc1)C1CC1,12,9,OC(NC1CCCCC1)C1CC1,,F2
C.O=C(Nc1ccccc1)C1CC1,13,9,C.OC(NC1CCCCC1)C1CC1,,F2
C.C1CC1.c1ccccc1,10,9,C.C1CC1.C1CCCCC1,,F2
C.C1CC1,4,3,C.C1CC1,,F2
C.NC(=O)C1CC1,7,3,C.NC(O)C1CC1,,F2
C.NC=O,4,0,C.NCO,,F2
C.O=CNc1ccccc1,10,6,C.OCNC1CCCCC1,,F2
C1CC1.Cn1cccn1.c1ccccc1,15,14,C1CC1.C1CCCCC1.CC1CCCC1,,F2
C1CC1.Cn1cccn1,9,8,C1CC1.CC1CCCC1,,F2
Cn1cccn1.NC(=O)C1CC1,12,8,CC1CCCC1.NC(O)C1CC1,,F2
Cn1cccn1.NC=O,9,5,CC1CCCC1.NCO,,F2
Cn1cccn1.O=CNc1ccccc1,15,11,CC1CCCC1.OCNC1CCCCC1,,F2
CC(N)=O.Cn1cccn1.NC(=O)C1CC1,16,8,CC(N)O.CC1CCCC1.NC(O)C1CC1,,F2
CC(N)=O.NC(=O)C1CC1.c1cn[nH]c1,15,8,C1CCCC1.CC(N)O.NC(O)C1CC1,,F2
C1CC1.CC(N)=O.c1cn[nH]c1,12,8,C1CC1.C1CCCC1.CC(N)O,,F2
C1CC1.CC(N)=O,7,3,C1CC1.CC(N)O,,F2
CC(N)=O.NC=O.c1cn[nH]c1,12,5,C1CCCC1.CC(N)O.NCO,,F2
CC(N)=O.NC(=O)C1CC1,10,3,CC(N)O.NC(O)C1CC1,,F2
C.CC(N)=O.NC(=O)C1CC1,11,3,C.CC(N)O.NC(O)C1CC1,,F2
C.C1CC1.CC(N)=O,8,3,C.C1CC1.CC(N)O,,F2
C.CC(N)=O.NC=O,8,0,C.CC(N)O.NCO,,F2
C1CC1.CC(N)=O.Cn1cccn1,13,8,C1CC1.CC(N)O.CC1CCCC1,,F2
CC(N)=O.Cn1cccn1.NC=O,13,5,CC(N)O.CC1CCCC1.NCO,,F2
C1CC1.CC(=O)Nc1ccccc1.Cn1cccn1,19,14,C1CC1.CC(O)NC1CCCCC1.CC1CCCC1,,F2
C1CC1.CC(=O)Nc1ccccc1.c1cn[nH]c1,18,14,C1CC1.C1CCCC1.CC(O)NC1CCCCC1,,F2
C1CC1.CC(=O)Nc1ccccc1,13,9,C1CC1.CC(O)NC1CCCCC1,,F2
C.C1CC1.CC(=O)Nc1ccccc1,14,9,C.C1CC1.CC(O)NC1CCCCC1,,F2
CC(=O)Nc1cccc(NC=O)c1.Cn1cccn1,19,11,CC(O)NC1CCCC(NCO)C1.CC1CCCC1,,F2
CC(=O)Nc1cccc(NC=O)c1.c1cn[nH]c1,18,11,C1CCCC1.CC(O)NC1CCCC(NCO)C1,,F2
C.CC(=O)Nc1cccc(NC=O)c1,14,6,C.CC(O)NC1CCCC(NCO)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CC2)c1.c1cn[nH]c1,21,14,C1CCCC1.CC(O)NC1CCCC(NC(O)C2CC2)C1,,F2
CC(=O)Nc1cccc(NC(=O)C2CC2)c1,16,9,CC(O)NC1CCCC(NC(O)C2CC2)C1,,F2
C.CC(=O)Nc1cccc(NC(=O)C2CC2)c1,17,9,C.CC(O)NC1CCCC(NC(O)C2CC2)C1,,F2
Cn1nccc1C1CC1C(=O)Nc1ccccc1,18,14,CC1CCCC1C1CC1C(O)NC1CCCCC1,,F2
O=C(Nc1ccccc1)C1CC1c1ccn[nH]1,17,14,OC(NC1CCCCC1)C1CC1C1CCCC1,,F2
c1cc(C2CC2)[nH]n1.c1ccccc1,14,14,C1CC1C1CCCC1.C1CCCCC1,,F2
c1cc(C2CC2)[nH]n1,8,8,C1CC1C1CCCC1,,F2
NC(=O)C1CC1c1ccn[nH]1,11,8,NC(O)C1CC1C1CCCC1,,F2
Cn1nccc1C1CC1.c1ccccc1,15,14,C1CCCCC1.CC1CCCC1C1CC1,,F2
Cn1nccc1C1CC1,9,8,CC1CCCC1C1CC1,,F2
Cn1nccc1C1CC1C(N)=O,12,8,CC1CCCC1C1CC1C(N)O,,F2
CC(N)=O.Cn1nccc1C1CC1C(N)=O,16,8,CC(N)O.CC1CCCC1C1CC1C(N)O,,F2
CC(N)=O.NC(=O)C1CC1c1ccn[nH]1,15,8,CC(N)O.NC(O)C1CC1C1CCCC1,,F2
CC(N)=O.c1cc(C2CC2)[nH]n1,12,8,C1CC1C1CCCC1.CC(N)O,,F2
CC(N)=O.Cn1nccc1C1CC1,13,8,CC(N)O.CC1CCCC1C1CC1,,F2
CC(=O)Nc1ccccc1.Cn1nccc1C1CC1,19,14,CC(O)NC1CCCCC1.CC1CCCC1C1CC1,,F2
CC(=O)Nc1ccccc1.c1cc(C2CC2)[nH]n1,18,14,C1CC1C1CCCC1.CC(O)NC1CCCCC1,,F2
CC(=O)Nc1cccc(NC(=O)C2CC2c2ccn[nH]2)c1,21,14,CC(O)NC1CCCC(NC(O)C2CC2C2CCCC2)C1,,F2
CC(=O)Nc1cccc(NC(=O)CC2(O)CCOCC2)c1,21,12,CC(O)NC1CCCC(NC(O)CC2(O)CCCCC2)C1,Z2903951315,EM;MOL;F2
O=C(CC1(O)CCOCC1)Nc1ccccc1,17,12,OC(CC1(O)CCCCC1)NC1CCCCC1,,F2
CC(=O)Nc1ccccc1.O,11,6,CC(O)NC1CCCCC1.O,,F2
O.c1ccccc1,7,6,C1CCCCC1.O,,F2
O,1,0,O,,F2
CC(N)=O.O,5,0,CC(N)O.O,,F2
OC1CCOCC1.c1ccccc1,13,12,C1CCCCC1.OC1CCCCC1,,F2
C1CCOCC1.c1ccccc1,12,12,C1CCCCC1.C1CCCCC1,,F2
C1CCOCC1,6,6,C1CCCCC1,,F2
OC1CCOCC1,7,6,OC1CCCCC1,,F2
O=C(CC1CCOCC1)Nc1ccccc1,16,12,OC(CC1CCCCC1)NC1CCCCC1,,F2
